customer,cluster,cluster_label,cluster_profile
8037,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8038,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8039,1,New Parents,"Baby%, Drinks%, Home%"
8041,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8042,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8043,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8044,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8045,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8046,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8047,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8048,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8049,1,New Parents,"Baby%, Drinks%, Home%"
8053,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8054,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
8055,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8056,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8057,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8058,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8059,1,New Parents,"Baby%, Drinks%, Home%"
8060,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8061,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8062,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8063,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8064,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8065,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8066,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8067,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8068,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8069,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8070,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8071,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
