customer,cluster,cluster_label
1434,3,Drinks & Fresh Regulars & Food
1435,3,Drinks & Fresh Regulars & Food
1436,0,Home Decorators & Drinks & Food
1437,3,Drinks & Fresh Regulars & Food
1438,0,Home Decorators & Drinks & Food
1439,2,Food & Drinks & Home Decorators
1440,3,Drinks & Fresh Regulars & Food
1441,2,Food & Drinks & Home Decorators
1442,0,Home Decorators & Drinks & Food
1443,3,Drinks & Fresh Regulars & Food
1444,3,Drinks & Fresh Regulars & Food
1445,0,Home Decorators & Drinks & Food
1446,3,Drinks & Fresh Regulars & Food
1447,1,New Parents & Drinks & Home Decorators
1448,1,New Parents & Drinks & Home Decorators
1449,3,Drinks & Fresh Regulars & Food
1450,1,New Parents & Drinks & Home Decorators
1451,3,Drinks & Fresh Regulars & Food
1452,2,Food & Drinks & Home Decorators
1453,1,New Parents & Drinks & Home Decorators
1454,0,Home Decorators & Drinks & Food
1455,3,Drinks & Fresh Regulars & Food
1456,3,Drinks & Fresh Regulars & Food
1457,3,Drinks & Fresh Regulars & Food
1458,1,New Parents & Drinks & Home Decorators
1459,3,Drinks & Fresh Regulars & Food
1460,0,Home Decorators & Drinks & Food
1461,3,Drinks & Fresh Regulars & Food
1462,3,Drinks & Fresh Regulars & Food
1463,3,Drinks & Fresh Regulars & Food
1464,3,Drinks & Fresh Regulars & Food
1465,3,Drinks & Fresh Regulars & Food
1466,3,Drinks & Fresh Regulars & Food
1467,3,Drinks & Fresh Regulars & Food
1468,3,Drinks & Fresh Regulars & Food
1469,3,Drinks & Fresh Regulars & Food
1470,1,New Parents & Drinks & Home Decorators
1471,0,Home Decorators & Drinks & Food
1472,2,Food & Drinks & Home Decorators
1473,0,Home Decorators & Drinks & Food
1474,3,Drinks & Fresh Regulars & Food
1475,0,Home Decorators & Drinks & Food
1476,2,Food & Drinks & Home Decorators
1477,2,Food & Drinks & Home Decorators
1478,2,Food & Drinks & Home Decorators
1479,3,Drinks & Fresh Regulars & Food
1480,2,Food & Drinks & Home Decorators
1481,2,Food & Drinks & Home Decorators
1482,2,Food & Drinks & Home Decorators
1483,3,Drinks & Fresh Regulars & Food
1484,3,Drinks & Fresh Regulars & Food
1485,2,Food & Drinks & Home Decorators
1486,2,Food & Drinks & Home Decorators
1487,3,Drinks & Fresh Regulars & Food
1488,3,Drinks & Fresh Regulars & Food
1489,2,Food & Drinks & Home Decorators
1490,3,Drinks & Fresh Regulars & Food
1491,3,Drinks & Fresh Regulars & Food
1492,2,Food & Drinks & Home Decorators
1493,2,Food & Drinks & Home Decorators
1494,3,Drinks & Fresh Regulars & Food
1495,2,Food & Drinks & Home Decorators
1496,2,Food & Drinks & Home Decorators
1497,1,New Parents & Drinks & Home Decorators
1498,3,Drinks & Fresh Regulars & Food
1499,2,Food & Drinks & Home Decorators
1500,3,Drinks & Fresh Regulars & Food
1501,3,Drinks & Fresh Regulars & Food
1502,2,Food & Drinks & Home Decorators
1503,2,Food & Drinks & Home Decorators
1504,3,Drinks & Fresh Regulars & Food
1505,0,Home Decorators & Drinks & Food
1506,3,Drinks & Fresh Regulars & Food
1507,3,Drinks & Fresh Regulars & Food
1508,2,Food & Drinks & Home Decorators
1509,2,Food & Drinks & Home Decorators
1510,2,Food & Drinks & Home Decorators
1511,3,Drinks & Fresh Regulars & Food
1512,3,Drinks & Fresh Regulars & Food
1513,2,Food & Drinks & Home Decorators
1514,3,Drinks & Fresh Regulars & Food
1515,1,New Parents & Drinks & Home Decorators
1516,2,Food & Drinks & Home Decorators
1517,3,Drinks & Fresh Regulars & Food
1519,2,Food & Drinks & Home Decorators
1520,2,Food & Drinks & Home Decorators
1521,3,Drinks & Fresh Regulars & Food
1522,3,Drinks & Fresh Regulars & Food
1523,2,Food & Drinks & Home Decorators
1524,2,Food & Drinks & Home Decorators
1525,3,Drinks & Fresh Regulars & Food
1526,2,Food & Drinks & Home Decorators
1527,2,Food & Drinks & Home Decorators
1528,2,Food & Drinks & Home Decorators
1529,2,Food & Drinks & Home Decorators
1530,2,Food & Drinks & Home Decorators
1531,2,Food & Drinks & Home Decorators
1532,2,Food & Drinks & Home Decorators
1533,2,Food & Drinks & Home Decorators
1534,2,Food & Drinks & Home Decorators
1535,2,Food & Drinks & Home Decorators
1536,2,Food & Drinks & Home Decorators
1537,2,Food & Drinks & Home Decorators
1538,2,Food & Drinks & Home Decorators
1539,2,Food & Drinks & Home Decorators
1540,2,Food & Drinks & Home Decorators
1541,2,Food & Drinks & Home Decorators
1542,2,Food & Drinks & Home Decorators
1543,3,Drinks & Fresh Regulars & Food
1544,3,Drinks & Fresh Regulars & Food
1545,2,Food & Drinks & Home Decorators
1546,0,Home Decorators & Drinks & Food
1547,2,Food & Drinks & Home Decorators
1548,2,Food & Drinks & Home Decorators
1549,1,New Parents & Drinks & Home Decorators
1550,2,Food & Drinks & Home Decorators
1551,2,Food & Drinks & Home Decorators
1552,1,New Parents & Drinks & Home Decorators
1553,3,Drinks & Fresh Regulars & Food
1554,0,Home Decorators & Drinks & Food
1555,2,Food & Drinks & Home Decorators
1556,3,Drinks & Fresh Regulars & Food
1557,0,Home Decorators & Drinks & Food
1558,2,Food & Drinks & Home Decorators
1559,2,Food & Drinks & Home Decorators
1560,2,Food & Drinks & Home Decorators
1561,2,Food & Drinks & Home Decorators
1562,2,Food & Drinks & Home Decorators
1563,2,Food & Drinks & Home Decorators
1564,3,Drinks & Fresh Regulars & Food
1565,3,Drinks & Fresh Regulars & Food
1566,2,Food & Drinks & Home Decorators
1567,2,Food & Drinks & Home Decorators
1568,3,Drinks & Fresh Regulars & Food
1569,2,Food & Drinks & Home Decorators
1570,2,Food & Drinks & Home Decorators
1571,0,Home Decorators & Drinks & Food
1572,0,Home Decorators & Drinks & Food
1573,2,Food & Drinks & Home Decorators
1574,2,Food & Drinks & Home Decorators
1575,1,New Parents & Drinks & Home Decorators
1577,0,Home Decorators & Drinks & Food
1578,0,Home Decorators & Drinks & Food
1580,0,Home Decorators & Drinks & Food
1581,1,New Parents & Drinks & Home Decorators
1582,1,New Parents & Drinks & Home Decorators
1583,3,Drinks & Fresh Regulars & Food
1584,3,Drinks & Fresh Regulars & Food
1585,2,Food & Drinks & Home Decorators
1586,1,New Parents & Drinks & Home Decorators
1587,2,Food & Drinks & Home Decorators
1588,0,Home Decorators & Drinks & Food
1590,2,Food & Drinks & Home Decorators
1591,3,Drinks & Fresh Regulars & Food
1592,2,Food & Drinks & Home Decorators
1593,3,Drinks & Fresh Regulars & Food
1594,3,Drinks & Fresh Regulars & Food
1595,3,Drinks & Fresh Regulars & Food
1596,3,Drinks & Fresh Regulars & Food
1597,3,Drinks & Fresh Regulars & Food
1598,0,Home Decorators & Drinks & Food
1599,1,New Parents & Drinks & Home Decorators
1600,3,Drinks & Fresh Regulars & Food
1602,0,Home Decorators & Drinks & Food
1603,1,New Parents & Drinks & Home Decorators
1604,2,Food & Drinks & Home Decorators
1605,2,Food & Drinks & Home Decorators
1606,3,Drinks & Fresh Regulars & Food
1608,3,Drinks & Fresh Regulars & Food
1609,3,Drinks & Fresh Regulars & Food
1610,0,Home Decorators & Drinks & Food
1611,0,Home Decorators & Drinks & Food
1613,3,Drinks & Fresh Regulars & Food
1614,3,Drinks & Fresh Regulars & Food
1616,3,Drinks & Fresh Regulars & Food
1617,2,Food & Drinks & Home Decorators
1618,2,Food & Drinks & Home Decorators
1619,2,Food & Drinks & Home Decorators
1620,2,Food & Drinks & Home Decorators
1621,2,Food & Drinks & Home Decorators
1622,2,Food & Drinks & Home Decorators
1623,2,Food & Drinks & Home Decorators
1624,0,Home Decorators & Drinks & Food
1625,1,New Parents & Drinks & Home Decorators
1626,3,Drinks & Fresh Regulars & Food
1627,3,Drinks & Fresh Regulars & Food
1628,3,Drinks & Fresh Regulars & Food
1630,2,Food & Drinks & Home Decorators
1632,3,Drinks & Fresh Regulars & Food
1633,0,Home Decorators & Drinks & Food
1634,0,Home Decorators & Drinks & Food
1635,2,Food & Drinks & Home Decorators
1636,2,Food & Drinks & Home Decorators
1637,2,Food & Drinks & Home Decorators
1638,2,Food & Drinks & Home Decorators
1639,0,Home Decorators & Drinks & Food
1640,0,Home Decorators & Drinks & Food
1641,2,Food & Drinks & Home Decorators
1642,0,Home Decorators & Drinks & Food
1643,3,Drinks & Fresh Regulars & Food
1644,3,Drinks & Fresh Regulars & Food
1645,2,Food & Drinks & Home Decorators
1646,3,Drinks & Fresh Regulars & Food
1647,0,Home Decorators & Drinks & Food
1648,3,Drinks & Fresh Regulars & Food
1649,3,Drinks & Fresh Regulars & Food
1650,3,Drinks & Fresh Regulars & Food
1651,3,Drinks & Fresh Regulars & Food
1652,3,Drinks & Fresh Regulars & Food
1653,3,Drinks & Fresh Regulars & Food
1654,1,New Parents & Drinks & Home Decorators
1655,0,Home Decorators & Drinks & Food
1656,3,Drinks & Fresh Regulars & Food
1657,2,Food & Drinks & Home Decorators
1658,3,Drinks & Fresh Regulars & Food
1659,0,Home Decorators & Drinks & Food
1660,3,Drinks & Fresh Regulars & Food
1661,3,Drinks & Fresh Regulars & Food
1662,3,Drinks & Fresh Regulars & Food
1663,2,Food & Drinks & Home Decorators
1664,0,Home Decorators & Drinks & Food
